player,game,round,current_score,round_score,placement,round_wins,game_wins,last_trick
DQN,5,9,27,8,1,17,0,False
Random2,5,9,4,2,2,3,2,False
Random3,5,9,47,-7,3,3,1,False
Random4,5,9,66,-7,0,3,2,False
DQN,5,10,35,8,0,17,0,False
Random2,5,10,5,1,2,3,2,False
Random3,5,10,47,0,3,3,1,False
Random4,5,10,73,0,1,3,2,False
DQN,5,11,38,3,1,17,0,False
Random2,5,11,23,18,0,3,2,False
Random3,5,11,42,-5,3,3,1,False
Random4,5,11,73,-5,2,3,2,False
DQN,5,12,45,7,0,17,0,False
Random2,5,12,28,5,1,3,2,False
Random3,5,12,42,0,3,3,1,False
Random4,5,12,77,0,2,3,2,False
DQN,5,13,65,20,0,17,0,False
Random2,5,13,23,-5,3,3,2,False
Random3,5,13,42,0,2,3,1,False
Random4,5,13,78,0,1,3,2,False
DQN,5,14,55,-10,3,18,0,False
Random2,5,14,25,2,2,3,2,False
Random3,5,14,60,18,0,3,1,False
Random4,5,14,84,18,1,3,2,False
DQN,5,15,59,4,2,18,0,False
Random2,5,15,25,0,3,3,2,False
Random3,5,15,65,5,1,3,1,False
Random4,5,15,91,5,0,3,2,False
DQN,5,15,64,5,2,18,0,True
Random2,5,15,15,-10,3,3,2,True
Random3,5,15,71,6,1,3,3,True
Random4,5,15,106,6,0,3,2,True
DQN,6,1,4,4,1,18,0,False
Random2,6,1,16,16,0,3,3,False
Random3,6,1,-6,-6,3,3,1,False
Random4,6,1,2,-6,2,3,2,False
DQN,6,2,-2,-6,3,19,0,False
Random2,6,2,19,3,1,3,3,False
Random3,6,2,-3,3,1,3,1,False
Random4,6,2,18,3,0,3,2,False
DQN,6,3,-1,1,2,19,0,False
Random2,6,3,13,-6,3,3,3,False
Random3,6,3,10,13,0,3,1,False
Random4,6,3,26,13,1,3,2,False
DQN,6,4,7,8,0,19,0,False
Random2,6,4,17,4,1,3,3,False
Random3,6,4,12,2,2,3,1,False
Random4,6,4,28,2,2,3,2,False
DQN,6,5,7,0,1,19,0,False
Random2,6,5,17,0,1,3,3,False
Random3,6,5,3,-9,3,3,1,False
Random4,6,5,53,-9,0,3,2,False
DQN,6,6,7,0,2,20,0,False
Random2,6,6,31,14,0,3,3,False
Random3,6,6,3,0,2,3,1,False
Random4,6,6,55,0,1,3,2,False
