player,game,round,current_score,round_score,placement,round_wins,game_wins,last_trick
Random3,5,12,65,6,3,0,0,False
Random4,5,12,57,6,1,0,0,False
ISMCTS,5,13,30,4,3,23,5,False
DQN,5,13,52,8,4,26,0,False
Random3,5,13,66,1,1,0,0,False
Random4,5,13,60,1,2,0,0,False
ISMCTS,5,14,22,-8,1,23,5,False
DQN,5,14,71,19,4,27,0,False
Random3,5,14,66,0,2,0,0,False
Random4,5,14,65,0,3,0,0,False
ISMCTS,5,15,26,4,3,23,5,False
DQN,5,15,74,3,1,27,0,False
Random3,5,15,72,6,4,0,0,False
Random4,5,15,68,6,1,0,0,False
ISMCTS,5,16,20,-6,1,23,5,False
DQN,5,16,93,19,4,28,0,False
Random3,5,16,72,0,2,0,0,False
Random4,5,16,71,0,3,0,0,False
ISMCTS,5,17,36,16,4,24,5,False
DQN,5,17,97,4,3,28,0,False
Random3,5,17,75,3,2,0,0,False
Random4,5,17,64,3,1,0,0,False
ISMCTS,5,18,44,8,3,24,5,False
DQN,5,18,87,-10,1,28,0,False
Random3,5,18,76,1,2,0,0,False
Random4,5,18,81,1,4,0,0,False
ISMCTS,5,19,44,0,1,24,5,False
DQN,5,19,91,4,3,28,0,False
Random3,5,19,79,3,2,0,0,False
Random4,5,19,90,3,4,0,0,False
ISMCTS,5,20,44,0,1,24,5,False
DQN,5,20,95,4,3,28,0,False
Random3,5,20,91,12,4,0,0,False
Random4,5,20,90,12,1,0,0,False
ISMCTS,5,20,38,-6,1,24,6,True
DQN,5,20,95,0,2,28,0,True
Random3,5,20,110,19,4,0,0,True
Random4,5,20,93,19,3,0,0,True
ISMCTS,6,1,-6,-6,1,24,6,False
DQN,6,1,2,2,2,28,0,False
Random3,6,1,5,5,3,0,0,False
Random4,6,1,15,5,4,0,0,False
ISMCTS,6,2,-6,0,1,24,6,False
DQN,6,2,8,6,3,29,0,False
Random3,6,2,9,4,2,0,0,False
Random4,6,2,21,4,3,0,0,False
ISMCTS,6,3,-16,-10,1,24,6,False
DQN,6,3,12,4,3,29,0,False
Random3,6,3,9,0,2,0,0,False
Random4,6,3,43,0,4,0,0,False
ISMCTS,6,4,-13,3,2,24,6,False
DQN,6,4,21,9,4,30,0,False
Random3,6,4,10,1,1,0,0,False
Random4,6,4,46,1,2,0,0,False
ISMCTS,6,5,-13,0,2,24,6,False
DQN,6,5,21,0,2,30,0,False
Random3,6,5,29,19,4,0,0,False
Random4,6,5,43,19,1,0,0,False
ISMCTS,6,6,-12,1,1,24,6,False
DQN,6,6,22,1,1,30,0,False
Random3,6,6,32,3,3,0,0,False
Random4,6,6,54,3,4,0,0,False
ISMCTS,6,7,4,16,4,25,6,False
DQN,6,7,20,-2,1,30,0,False
Random3,6,7,34,2,3,0,0,False
Random4,6,7,54,2,2,0,0,False
ISMCTS,6,8,4,0,1,25,6,False
DQN,6,8,23,3,2,30,0,False
Random3,6,8,41,7,4,0,0,False
Random4,6,8,60,7,3,0,0,False
ISMCTS,6,9,-1,-5,1,25,6,False
DQN,6,9,25,2,2,30,0,False
Random3,6,9,58,17,4,0,0,False
Random4,6,9,62,17,2,0,0,False
ISMCTS,6,10,-1,0,1,25,6,False
DQN,6,10,38,13,4,31,0,False
Random3,6,10,58,0,1,0,0,False
Random4,6,10,65,0,3,0,0,False
ISMCTS,6,11,3,4,3,25,6,False
DQN,6,11,38,0,1,31,0,False
Random3,6,11,70,12,4,0,0,False
Random4,6,11,65,12,1,0,0,False
ISMCTS,6,12,6,3,3,25,6,False
DQN,6,12,38,0,1,31,0,False
Random3,6,12,72,2,2,0,0,False
Random4,6,12,76,2,4,0,0,False
ISMCTS,6,13,19,13,4,26,6,False
DQN,6,13,44,6,3,31,0,False
Random3,6,13,69,-3,1,0,0,False
Random4,6,13,76,-3,2,0,0,False
ISMCTS,6,14,24,5,4,27,6,False
DQN,6,14,48,4,2,31,0,False
Random3,6,14,73,4,2,0,0,False
Random4,6,14,79,4,1,0,0,False
ISMCTS,6,15,38,14,4,28,6,False
DQN,6,15,52,4,3,31,0,False
Random3,6,15,75,2,2,0,0,False
Random4,6,15,75,2,1,0,0,False
ISMCTS,6,16,39,1,3,28,6,False
DQN,6,16,74,22,4,32,0,False
Random3,6,16,68,-7,1,0,0,False
Random4,6,16,75,-7,2,0,0,False
ISMCTS,6,17,29,-10,1,28,6,False
DQN,6,17,90,16,4,33,0,False
Random3,6,17,76,8,3,0,0,False
Random4,6,17,77,8,2,0,0,False
ISMCTS,6,18,32,3,3,28,6,False
DQN,6,18,90,0,1,33,0,False
Random3,6,18,77,1,2,0,0,False
Random4,6,18,89,1,4,0,0,False
ISMCTS,6,19,23,-9,1,28,6,False
DQN,6,19,93,3,3,33,0,False
Random3,6,19,99,22,4,0,0,False
Random4,6,19,89,22,2,0,0,False
ISMCTS,6,19,14,-9,1,28,7,True
DQN,6,19,96,3,2,33,0,True
Random3,6,19,112,13,4,0,0,True
Random4,6,19,98,13,3,0,0,True
ISMCTS,7,1,-3,-3,1,28,7,False
DQN,7,1,0,0,2,33,0,False
Random3,7,1,0,0,2,0,0,False
Random4,7,1,19,0,4,0,0,False
ISMCTS,7,2,-8,-5,1,28,7,False
DQN,7,2,1,1,3,33,0,False
Random3,7,2,0,0,2,0,0,False
Random4,7,2,39,0,4,0,0,False
ISMCTS,7,3,-8,0,1,28,7,False
DQN,7,3,1,0,1,33,0,False
Random3,7,3,1,1,3,0,0,False
Random4,7,3,54,1,4,0,0,False
ISMCTS,7,4,-11,-3,1,28,7,False
DQN,7,4,16,15,4,34,0,False
Random3,7,4,5,4,3,0,0,False
Random4,7,4,54,4,2,0,0,False
ISMCTS,7,5,-21,-10,1,28,7,False
DQN,7,5,33,17,4,35,0,False
Random3,7,5,9,4,2,0,0,False
Random4,7,5,59,4,3,0,0,False
ISMCTS,7,6,-21,0,1,28,7,False
DQN,7,6,37,4,3,35,0,False
Random3,7,6,11,2,2,0,0,False
Random4,7,6,69,2,4,0,0,False
ISMCTS,7,7,-14,7,4,29,7,False
DQN,7,7,38,1,1,35,0,False
Random3,7,7,15,4,2,0,0,False
Random4,7,7,73,4,2,0,0,False
ISMCTS,7,8,-24,-10,1,29,7,False
DQN,7,8,38,0,2,35,0,False
Random3,7,8,21,6,3,0,0,False
Random4,7,8,93,6,4,0,0,False
ISMCTS,7,9,-20,4,3,29,7,False
DQN,7,9,33,-5,1,35,0,False
Random3,7,9,38,17,4,0,0,False
Random4,7,9,93,17,2,0,0,False
ISMCTS,7,10,-20,0,2,29,7,False
DQN,7,10,38,5,3,35,0,False
Random3,7,10,59,21,4,0,0,False
Random4,7,10,83,21,1,0,0,False
ISMCTS,7,11,-6,14,4,30,7,False
DQN,7,11,41,3,2,35,0,False
Random3,7,11,54,-5,1,0,0,False
Random4,7,11,87,-5,3,0,0,False
ISMCTS,7,12,-9,-3,1,30,7,False
DQN,7,12,54,13,4,36,0,False
Random3,7,12,60,6,3,0,0,False
Random4,7,12,87,6,2,0,0,False
ISMCTS,7,13,-2,7,3,30,7,False
DQN,7,13,50,-4,1,36,0,False
Random3,7,13,73,13,4,0,0,False
Random4,7,13,87,13,2,0,0,False
ISMCTS,7,14,-1,1,1,30,7,False
DQN,7,14,55,5,3,36,0,False
Random3,7,14,76,3,2,0,0,False
Random4,7,14,94,3,4,0,0,False
ISMCTS,7,15,12,13,4,31,7,False
DQN,7,15,59,4,3,36,0,False
Random3,7,15,76,0,2,0,0,False
Random4,7,15,93,0,1,0,0,False
ISMCTS,7,16,25,13,4,32,7,False
DQN,7,16,61,2,3,36,0,False
Random3,7,16,77,1,2,0,0,False
Random4,7,16,93,1,1,0,0,False
ISMCTS,7,17,37,12,4,33,7,False
DQN,7,17,61,0,1,36,0,False
Random3,7,17,79,2,2,0,0,False
Random4,7,17,95,2,2,0,0,False
ISMCTS,7,17,43,6,3,34,8,True
DQN,7,17,65,4,2,36,0,True
Random3,7,17,79,0,1,0,0,True
Random4,7,17,101,0,3,0,0,True
ISMCTS,8,1,-10,-10,1,34,8,False
DQN,8,1,3,3,3,36,0,False
Random3,8,1,21,21,4,0,0,False
Random4,8,1,2,21,2,0,0,False
ISMCTS,8,2,-7,3,3,34,8,False
DQN,8,2,3,0,1,36,0,False
Random3,8,2,23,2,2,0,0,False
Random4,8,2,13,2,4,0,0,False
ISMCTS,8,3,6,13,4,35,8,False
DQN,8,3,3,0,1,36,0,False
Random3,8,3,23,0,1,0,0,False
Random4,8,3,16,0,3,0,0,False
ISMCTS,8,4,-4,-10,1,35,8,False
DQN,8,4,5,2,2,36,0,False
Random3,8,4,28,5,3,0,0,False
Random4,8,4,35,5,4,0,0,False
ISMCTS,8,5,-10,-6,1,35,8,False
DQN,8,5,18,13,4,37,0,False
Random3,8,5,33,5,3,0,0,False
Random4,8,5,39,5,2,0,0,False
ISMCTS,8,6,-5,5,3,35,8,False
DQN,8,6,18,0,1,37,0,False
Random3,8,6,41,8,4,0,0,False
Random4,8,6,42,8,2,0,0,False
ISMCTS,8,7,10,15,4,36,8,False
DQN,8,7,18,0,1,37,0,False
Random3,8,7,42,1,3,0,0,False
Random4,8,7,42,1,1,0,0,False
ISMCTS,8,8,10,26,6,37,8,False
DQN,8,8,34,-10,1,37,0,False
Random3,8,8,68,0,2,0,0,False
Random4,8,8,68,0,2,0,0,False
ISMCTS,8,9,5,-5,1,37,8,False
DQN,8,9,34,0,2,37,0,False
Random3,8,9,89,21,4,0,0,False
Random4,8,9,68,21,2,0,0,False
ISMCTS,8,10,5,0,1,37,8,False
DQN,8,10,34,0,1,37,0,False
Random3,8,10,98,9,4,0,0,False
Random4,8,10,75,9,3,0,0,False
ISMCTS,8,10,5,0,2,37,9,True
DQN,8,10,47,13,4,38,0,True
Random3,8,10,102,4,3,0,0,True
Random4,8,10,74,4,1,0,0,True
ISMCTS,9,1,2,2,3,37,9,False
DQN,9,1,0,0,1,38,0,False
Random3,9,1,13,13,4,0,0,False
Random4,9,1,1,13,2,0,0,False
ISMCTS,9,2,-4,-6,1,37,9,False
DQN,9,2,21,21,4,39,0,False
Random3,9,2,13,0,2,0,0,False
Random4,9,2,2,0,3,0,0,False
ISMCTS,9,3,5,9,4,38,9,False
DQN,9,3,21,0,1,39,0,False
Random3,9,3,20,7,3,0,0,False
Random4,9,3,2,7,1,0,0,False
ISMCTS,9,4,5,0,1,38,9,False
DQN,9,4,32,11,4,40,0,False
Random3,9,4,24,4,3,0,0,False
Random4,9,4,3,4,2,0,0,False
ISMCTS,9,5,-4,-9,1,38,9,False
DQN,9,5,51,19,4,41,0,False
Random3,9,5,29,5,3,0,0,False
Random4,9,5,4,5,2,0,0,False
ISMCTS,9,6,-4,0,2,38,9,False
DQN,9,6,46,-5,1,41,0,False
Random3,9,6,50,21,4,0,0,False
Random4,9,6,4,21,2,0,0,False
ISMCTS,9,7,13,17,4,39,9,False
DQN,9,7,46,0,2,41,0,False
Random3,9,7,51,1,3,0,0,False
Random4,9,7,2,1,1,0,0,False
ISMCTS,9,8,13,0,1,39,9,False
DQN,9,8,50,4,2,41,0,False
Random3,9,8,59,8,4,0,0,False
Random4,9,8,6,8,2,0,0,False
ISMCTS,9,9,5,-8,1,39,9,False
DQN,9,9,63,13,4,42,0,False
Random3,9,9,62,3,2,0,0,False
Random4,9,9,14,3,3,0,0,False
ISMCTS,9,10,0,-5,1,39,9,False
DQN,9,10,77,14,4,43,0,False
Random3,9,10,65,3,2,0,0,False
